EmployeeNumber,Age,Attrition,Department,Gender,JobRole,MaritalStatus,MonthlyIncome,OverTime,Performance_status,Age_Group,Education_Level,JobInvolvement_level,Jobsatisfaction_Level,Distance_status,YearAtCompany_status
335,40,No,Research & Development,Male,Research Scientist,Divorced,3319,No,High,35-46,College,High,Very-High,Very-Far,2-Star
336,45,No,Research & Development,Male,Manager,Married,19202,No,High,35-46,Bachelor,Very-High,Very-High,Near,5-Star
337,31,No,Research & Development,Male,Research Director,Divorced,13675,No,High,26-35,Masters,High,High,Near,Newbies
338,33,No,Research & Development,Female,Research Scientist,Married,2911,No,High,26-35,Masters,Medium,Very-High,Near,Newbies
339,34,No,Research & Development,Male,Manufacturing Director,Married,5957,No,High,26-35,Masters,Medium,Low,Near,3-Star
340,37,No,Research & Development,Female,Research Scientist,Married,3920,No,High,35-46,College,Medium,Low,Near,1-Star
341,45,No,Research & Development,Male,Manufacturing Director,Married,6434,No,High,35-46,Masters,Very-High,High,Near,1-Star
342,37,Yes,Research & Development,Male,Manufacturing Director,Divorced,10048,No,High,35-46,Bachelor,High,High,Near,Newbies
343,39,No,Research & Development,Female,Healthcare Representative,Single,10938,No,Low,35-46,Masters,High,High,Near,4-Star
346,29,No,Research & Development,Male,Research Scientist,Single,2340,No,High,26-35,Bachelor,High,Very-High,Far,2-Star
347,42,No,Research & Development,Female,Research Scientist,Single,6545,Yes,High,35-46,College,Very-High,Low,Far,1-Star
349,29,No,Sales,Male,Sales Executive,Divorced,6931,No,High,26-35,College,High,Very-High,Far,1-Star
350,25,No,Research & Development,Female,Manufacturing Director,Married,4898,No,High,18-25,Bachelor,High,High,Near,1-Star
351,42,No,Research & Development,Female,Laboratory Technician,Divorced,2593,Yes,High,35-46,Bachelor,Medium,Low,Near,2-Star
352,40,No,Research & Development,Male,Research Director,Divorced,19436,No,High,35-46,College,High,High,Near,5-Star
353,51,No,Research & Development,Male,Research Scientist,Married,2723,No,High,46-55,Bachelor,High,Very-High,Near,Newbies
355,31,Yes,Research & Development,Male,Laboratory Technician,Single,3479,No,High,26-35,College,Medium,Medium,Very-Far,1-Star
359,32,No,Research & Development,Male,Laboratory Technician,Married,2794,No,Low,26-35,Bachelor,Very-High,Medium,Near,1-Star
361,38,No,Sales,Male,Sales Executive,Married,5249,No,High,35-46,College,Medium,Very-High,Near,2-Star
362,32,No,Research & Development,Male,Laboratory Technician,Single,2176,No,High,26-35,Below College,Medium,Low,Near,2-Star
363,46,No,Sales,Female,Manager,Married,16872,Yes,High,46-55,Bachelor,Low,Medium,Near,2-Star
364,28,Yes,Research & Development,Male,Laboratory Technician,Single,3485,No,High,26-35,Masters,High,High,Near,Newbies
366,29,No,Sales,Male,Sales Executive,Married,6644,No,High,26-35,Bachelor,Medium,Medium,Near,Newbies
367,31,No,Research & Development,Male,Healthcare Representative,Married,5582,No,Low,26-35,Bachelor,Medium,Very-High,Very-Far,2-Star
369,25,No,Research & Development,Male,Healthcare Representative,Divorced,4000,No,High,18-25,College,Very-High,Low,Near,2-Star
372,45,No,Research & Development,Male,Healthcare Representative,Married,13496,Yes,High,35-46,College,High,Very-High,Far,4-Star
373,36,No,Research & Development,Male,Laboratory Technician,Married,3210,No,High,35-46,Bachelor,High,Very-High,Near,3-Star
374,55,No,Research & Development,Male,Manager,Single,19045,Yes,High,46-55,Bachelor,High,Low,Near,Elders
376,47,Yes,Research & Development,Male,Manager,Married,11849,Yes,High,46-55,Masters,High,Medium,Very-Far,2-Star
377,28,No,Research & Development,Male,Research Scientist,Married,2070,No,Low,26-35,Bachelor,High,Very-High,Near,1-Star
378,37,No,Sales,Male,Sales Executive,Married,6502,No,High,35-46,Masters,High,Very-High,Near,1-Star
379,21,No,Research & Development,Male,Research Scientist,Single,3230,No,High,18-25,College,Medium,High,Near,1-Star
380,37,No,Research & Development,Female,Research Director,Divorced,13603,Yes,High,35-46,Masters,High,Very-High,Near,1-Star
381,35,No,Research & Development,Female,Manager,Divorced,11996,No,High,26-35,Bachelor,Very-High,Medium,Very-Far,2-Star
382,38,No,Sales,Female,Sales Executive,Divorced,5605,Yes,Low,35-46,College,Very-High,Low,Near,2-Star
384,26,No,Research & Development,Female,Manufacturing Director,Divorced,6397,No,Low,26-35,Bachelor,High,Medium,Near,2-Star
385,50,No,Research & Development,Male,Research Director,Divorced,19144,No,High,46-55,Below College,High,Medium,Near,2-Star
386,53,No,Research & Development,Male,Research Director,Married,17584,Yes,High,46-55,Masters,High,High,Near,1-Star
387,42,No,Sales,Male,Sales Executive,Married,4907,No,Low,35-46,Below College,High,High,Near,4-Star
388,29,No,Sales,Male,Sales Executive,Single,4554,No,High,26-35,College,High,Very-High,Near,2-Star
389,55,No,Research & Development,Male,Laboratory Technician,Married,5415,Yes,High,46-55,College,High,Very-High,Far,2-Star
390,26,No,Research & Development,Male,Healthcare Representative,Married,4741,Yes,High,26-35,College,High,Low,Far,1-Star
391,37,No,Research & Development,Female,Research Scientist,Single,2115,No,High,35-46,Bachelor,High,Very-High,Near,4-Star
392,44,Yes,Research & Development,Male,Laboratory Technician,Divorced,3161,Yes,Low,35-46,Bachelor,High,High,Very-Far,Newbies
393,38,No,Research & Development,Male,Healthcare Representative,Divorced,5745,No,High,35-46,Masters,High,Very-High,Very-Far,Newbies
394,26,Yes,Research & Development,Male,Laboratory Technician,Divorced,2373,Yes,High,26-35,Masters,High,Medium,Far,1-Star
395,28,No,Research & Development,Female,Research Scientist,Single,3310,No,Low,26-35,College,High,Very-High,Near,1-Star
396,49,No,Research & Development,Female,Research Director,Single,18665,Yes,High,46-55,Masters,High,Low,Near,1-Star
397,36,No,Research & Development,Male,Research Scientist,Single,4485,No,High,35-46,Bachelor,High,Medium,Near,2-Star
399,31,No,Sales,Female,Sales Representative,Divorced,2789,No,High,26-35,Bachelor,High,Medium,Near,Newbies
401,26,Yes,Sales,Male,Sales Executive,Single,5828,Yes,High,26-35,Masters,Medium,Very-High,Near,2-Star
403,37,No,Research & Development,Male,Research Scientist,Married,2326,Yes,High,35-46,Bachelor,High,Very-High,Near,1-Star
404,42,No,Sales,Female,Sales Executive,Married,13525,No,High,35-46,Bachelor,High,Medium,Very-Far,4-Star
405,18,Yes,Research & Development,Male,Laboratory Technician,Single,1420,No,High,18-25,Bachelor,High,High,Near,Newbies
406,35,No,Sales,Male,Sales Executive,Married,8020,No,High,26-35,Bachelor,High,Medium,Far,3-Star
407,36,No,Research & Development,Male,Laboratory Technician,Married,3688,No,High,35-46,Masters,Very-High,Very-High,Far,Newbies
408,51,No,Research & Development,Male,Manufacturing Director,Divorced,5482,No,High,46-55,Bachelor,Low,Medium,Near,1-Star
410,41,No,Sales,Male,Manager,Single,16015,No,High,35-46,Masters,High,Medium,Near,5-Star
411,18,No,Sales,Female,Sales Representative,Single,1200,No,High,18-25,Bachelor,Medium,High,Near,Newbies
412,28,No,Research & Development,Male,Healthcare Representative,Single,5661,No,High,26-35,College,Very-High,Low,Far,2-Star
416,31,No,Sales,Male,Sales Executive,Married,6929,No,High,26-35,Bachelor,Very-High,Very-High,Near,2-Star
417,39,No,Research & Development,Male,Healthcare Representative,Divorced,9613,No,High,35-46,Bachelor,Very-High,Very-High,Near,4-Star
419,36,No,Research & Development,Female,Laboratory Technician,Married,5674,No,High,35-46,Masters,High,Medium,Very-Far,2-Star
420,32,No,Sales,Male,Sales Executive,Married,5484,No,High,26-35,Bachelor,Medium,High,Near,3-Star
421,38,No,Research & Development,Female,Research Director,Married,12061,No,High,35-46,College,Medium,Medium,Very-Far,2-Star
422,58,No,Research & Development,Male,Healthcare Representative,Divorced,5660,Yes,High,56?,Masters,Low,High,Near,1-Star
423,31,No,Research & Development,Male,Research Scientist,Married,4821,Yes,High,26-35,Masters,High,Very-High,Near,1-Star
424,31,No,Human Resources,Male,Human Resources,Married,6410,No,High,26-35,Bachelor,Medium,Low,Near,Newbies
425,45,No,Research & Development,Male,Laboratory Technician,Divorced,5210,No,High,35-46,Bachelor,High,Low,Near,5-Star
426,31,No,Research & Development,Male,Research Scientist,Divorced,2695,Yes,High,26-35,Masters,High,Very-High,Near,Newbies
428,33,No,Research & Development,Female,Manager,Married,11878,No,High,26-35,Masters,High,Medium,Near,2-Star
429,39,No,Research & Development,Male,Manager,Married,17068,Yes,High,35-46,Below College,High,Low,Near,5-Star
430,43,No,Research & Development,Female,Laboratory Technician,Single,2455,No,High,35-46,Masters,High,Very-High,Near,2-Star
431,49,No,Research & Development,Female,Healthcare Representative,Single,13964,Yes,High,46-55,College,Medium,High,Near,2-Star
433,52,Yes,Research & Development,Male,Research Scientist,Married,4941,No,High,46-55,Masters,Medium,Medium,Near,2-Star
434,27,No,Research & Development,Female,Research Scientist,Single,2478,Yes,High,26-35,Bachelor,High,Medium,Near,1-Star
436,32,No,Sales,Female,Sales Executive,Married,5228,Yes,High,26-35,College,Medium,Medium,Near,3-Star
437,27,No,Sales,Male,Sales Executive,Single,4478,Yes,High,26-35,Bachelor,High,High,Near,1-Star
438,31,No,Sales,Male,Sales Executive,Divorced,7547,No,High,26-35,Bachelor,High,Very-High,Near,2-Star
439,32,No,Research & Development,Female,Research Scientist,Single,5055,No,High,26-35,Masters,Very-High,Very-High,Near,2-Star
440,28,Yes,Research & Development,Male,Research Scientist,Married,3464,Yes,High,26-35,Masters,Low,Very-High,Near,1-Star
441,30,No,Research & Development,Female,Research Scientist,Married,5775,No,High,26-35,College,High,Very-High,Very-Far,2-Star
442,31,No,Research & Development,Female,Manufacturing Director,Married,8943,No,Low,26-35,College,Medium,High,Near,2-Star
444,39,No,Research & Development,Male,Manager,Married,19272,No,High,35-46,College,Medium,Very-High,Near,5-Star
445,39,Yes,Sales,Female,Sales Executive,Married,5238,Yes,High,35-46,College,High,High,Near,Newbies
446,33,No,Sales,Male,Sales Executive,Single,4682,No,High,26-35,Bachelor,Medium,Very-High,Near,2-Star
447,47,No,Research & Development,Male,Research Director,Married,18300,No,High,46-55,Doctor,High,High,Near,1-Star
448,43,No,Research & Development,Female,Laboratory Technician,Divorced,5257,No,High,35-46,Masters,Medium,High,Near,2-Star
449,27,No,Sales,Male,Sales Executive,Married,6349,Yes,High,26-35,Below College,High,Medium,Near,1-Star
450,54,No,Research & Development,Female,Research Scientist,Single,4869,No,High,46-55,Masters,High,High,Far,1-Star
451,43,No,Research & Development,Female,Healthcare Representative,Married,9985,No,High,35-46,Bachelor,High,Low,Near,Newbies
452,45,No,Research & Development,Male,Research Scientist,Married,3697,No,High,35-46,Masters,High,Very-High,Near,2-Star
453,40,No,Sales,Male,Sales Executive,Married,7457,Yes,Low,35-46,College,Low,Very-High,Near,1-Star
454,29,Yes,Research & Development,Male,Laboratory Technician,Married,2119,Yes,High,26-35,Masters,Low,Low,Near,2-Star
455,29,No,Research & Development,Male,Laboratory Technician,Single,3983,No,High,26-35,Doctor,Medium,Very-High,Near,1-Star
456,30,No,Sales,Female,Sales Executive,Divorced,6118,No,High,26-35,Bachelor,Medium,High,Near,2-Star
458,27,No,Sales,Female,Sales Executive,Married,6214,No,High,26-35,Masters,High,Medium,Near,2-Star
460,37,No,Research & Development,Male,Manufacturing Director,Divorced,6347,No,High,35-46,College,High,Very-High,Near,2-Star
461,38,No,Research & Development,Male,Research Director,Divorced,11510,Yes,High,35-46,College,Medium,Very-High,Far,3-Star
462,31,No,Research & Development,Female,Manufacturing Director,Single,7143,Yes,High,26-35,Masters,High,Very-High,Near,3-Star
463,29,No,Sales,Female,Sales Executive,Divorced,8268,Yes,High,26-35,Below College,Medium,Medium,Near,2-Star
464,35,No,Research & Development,Male,Manufacturing Director,Single,8095,No,High,26-35,Masters,High,Medium,Near,4-Star
465,23,No,Research & Development,Male,Research Scientist,Divorced,2904,No,High,18-25,Below College,High,Very-High,Very-Far,1-Star
466,41,No,Research & Development,Male,Manufacturing Director,Single,6032,Yes,High,35-46,Bachelor,Medium,Medium,Near,1-Star
467,47,No,Sales,Male,Sales Representative,Single,2976,No,High,46-55,Below College,High,High,Near,Newbies
468,42,No,Research & Development,Female,Research Director,Single,15992,No,High,35-46,Doctor,High,Very-High,Very-Far,Newbies
469,29,No,Sales,Male,Sales Executive,Married,4649,No,High,26-35,Bachelor,High,High,Near,1-Star
470,42,No,Human Resources,Male,Human Resources,Divorced,2696,Yes,High,35-46,Below College,High,High,Near,1-Star
471,32,No,Research & Development,Female,Laboratory Technician,Married,2370,No,High,26-35,Bachelor,High,Medium,Near,2-Star
473,48,No,Sales,Female,Manager,Married,12504,No,Low,46-55,Below College,High,High,Very-Far,Newbies
474,37,No,Research & Development,Male,Research Scientist,Divorced,5974,Yes,High,35-46,Bachelor,Very-High,Low,Near,2-Star
475,30,No,Sales,Female,Sales Executive,Married,4736,Yes,High,26-35,College,High,High,Very-Far,Newbies
476,26,No,Sales,Male,Sales Executive,Married,5296,No,High,26-35,Bachelor,High,High,Near,2-Star
477,42,No,Research & Development,Male,Healthcare Representative,Single,6781,No,Low,35-46,Masters,Medium,Very-High,Near,Newbies
478,21,Yes,Sales,Female,Sales Representative,Single,2174,Yes,High,18-25,Below College,Medium,Medium,Near,1-Star
479,36,No,Sales,Female,Sales Executive,Single,6653,No,High,35-46,Doctor,High,Very-High,Near,Newbies
481,36,No,Sales,Male,Sales Executive,Married,9699,No,High,35-46,Masters,Medium,Very-High,Near,3-Star
482,57,No,Research & Development,Male,Healthcare Representative,Married,6755,No,High,56?,Masters,High,High,Near,1-Star
483,40,No,Research & Development,Female,Laboratory Technician,Married,2213,Yes,High,35-46,Masters,Very-High,High,Near,2-Star
484,21,No,Sales,Male,Sales Representative,Single,2610,No,Low,18-25,College,High,Very-High,Near,1-Star
485,33,Yes,Sales,Female,Sales Representative,Single,2851,Yes,High,26-35,Bachelor,High,High,Near,Newbies
486,37,No,Research & Development,Female,Laboratory Technician,Married,3452,No,Low,35-46,Bachelor,High,Low,Near,1-Star
487,46,No,Research & Development,Female,Manufacturing Director,Married,5258,No,High,46-55,Masters,High,High,Near,Newbies
488,41,Yes,Sales,Male,Sales Executive,Single,9355,No,High,35-46,Bachelor,High,Medium,Near,2-Star
491,50,No,Research & Development,Male,Healthcare Representative,Single,10496,No,High,46-55,Bachelor,Medium,Very-High,Near,1-Star
492,40,Yes,Sales,Male,Sales Executive,Married,6380,Yes,High,35-46,College,Medium,High,Very-Far,2-Star
493,31,No,Research & Development,Male,Research Scientist,Single,2657,Yes,High,26-35,Masters,Medium,Medium,Near,Newbies
494,21,Yes,Sales,Female,Sales Representative,Single,2716,No,High,18-25,Bachelor,Very-High,Medium,Far,Newbies
495,29,No,Research & Development,Male,Research Scientist,Single,2201,No,High,26-35,Bachelor,High,Very-High,Very-Far,1-Star
496,35,No,Research & Development,Male,Healthcare Representative,Single,6540,No,High,26-35,Masters,Medium,Medium,Near,Newbies
497,27,No,Research & Development,Male,Laboratory Technician,Divorced,3816,No,High,26-35,College,High,Medium,Near,1-Star
498,28,No,Sales,Male,Sales Executive,Single,5253,No,High,26-35,Masters,High,Very-High,Near,2-Star
499,49,No,Research & Development,Male,Healthcare Representative,Single,10965,No,Low,46-55,Bachelor,Medium,High,Near,1-Star
500,51,No,Sales,Female,Sales Executive,Married,4936,No,High,46-55,College,High,Very-High,Far,2-Star
501,36,No,Research & Development,Female,Research Scientist,Married,2543,No,High,35-46,Bachelor,High,High,Near,Newbies
502,34,Yes,Sales,Male,Sales Executive,Single,5304,Yes,High,26-35,Bachelor,Very-High,Very-High,Far,1-Star
505,55,No,Research & Development,Female,Manager,Single,16659,Yes,High,46-55,Bachelor,High,Very-High,Near,1-Star
507,24,No,Sales,Female,Sales Executive,Divorced,4260,Yes,High,18-25,Masters,High,High,Near,1-Star
508,30,No,Sales,Male,Sales Representative,Married,2476,No,High,26-35,Below College,High,Medium,Near,Newbies
510,26,Yes,Research & Development,Male,Research Scientist,Single,3102,No,Low,26-35,Below College,High,Low,Near,2-Star
511,22,No,Research & Development,Female,Research Scientist,Married,2244,No,High,18-25,Bachelor,High,Medium,Far,Newbies
513,36,No,Sales,Male,Sales Executive,Married,7596,No,High,35-46,College,Medium,High,Near,2-Star
514,30,Yes,Research & Development,Male,Research Scientist,Single,2285,Yes,Low,26-35,Bachelor,High,Very-High,Near,Newbies
515,37,No,Research & Development,Female,Laboratory Technician,Divorced,3034,No,High,35-46,Bachelor,High,Low,Far,4-Star
516,40,No,Sales,Female,Sales Executive,Divorced,5715,No,High,35-46,College,High,Medium,Near,1-Star
517,42,No,Research & Development,Female,Laboratory Technician,Divorced,2576,No,High,35-46,Masters,High,Low,Near,1-Star
518,37,No,Research & Development,Male,Manufacturing Director,Single,4197,Yes,High,35-46,Masters,High,Medium,Near,Newbies
520,43,No,Research & Development,Male,Research Director,Divorced,14336,No,High,35-46,Bachelor,Medium,Medium,Far,5-Star
521,40,No,Research & Development,Female,Laboratory Technician,Married,3448,No,Low,35-46,Bachelor,Medium,High,Near,Newbies
522,54,No,Research & Development,Male,Research Director,Married,19406,No,High,46-55,College,High,Low,Near,1-Star
523,34,No,Sales,Female,Sales Executive,Married,6538,No,High,26-35,Masters,High,High,Near,1-Star
524,31,No,Research & Development,Female,Manufacturing Director,Married,4306,No,High,26-35,College,High,Low,Near,3-Star
525,43,No,Research & Development,Male,Laboratory Technician,Married,2258,No,Low,35-46,Bachelor,High,Very-High,Very-Far,1-Star
526,43,No,Research & Development,Female,Healthcare Representative,Divorced,4522,Yes,High,35-46,Masters,High,High,Near,1-Star
527,25,No,Sales,Female,Sales Executive,Single,4487,Yes,High,18-25,College,Medium,Very-High,Near,1-Star
529,37,No,Research & Development,Female,Research Scientist,Married,4449,Yes,High,35-46,Doctor,High,High,Very-Far,3-Star
530,31,No,Research & Development,Male,Laboratory Technician,Married,2218,No,High,26-35,College,Medium,Low,Near,1-Star
531,39,No,Research & Development,Male,Manager,Divorced,19197,Yes,High,35-46,Below College,High,High,Near,5-Star
532,56,No,Sales,Female,Sales Executive,Married,13212,No,High,56?,Bachelor,Very-High,Low,Near,2-Star
533,30,No,Sales,Female,Sales Executive,Single,6577,No,High,26-35,Bachelor,High,High,Far,1-Star
534,41,No,Sales,Male,Sales Executive,Married,8392,No,High,35-46,Bachelor,Very-High,Low,Near,2-Star
536,28,No,Research & Development,Male,Laboratory Technician,Divorced,4558,No,High,26-35,College,High,Low,Far,2-Star
538,25,Yes,Research & Development,Male,Laboratory Technician,Married,4031,No,High,18-25,Bachelor,High,Low,Near,Newbies
543,52,No,Research & Development,Male,Manufacturing Director,Married,7969,Yes,High,46-55,Bachelor,Medium,High,Near,1-Star
544,45,No,Research & Development,Male,Research Scientist,Married,2654,No,Low,35-46,College,High,Very-High,Near,Newbies
546,52,No,Research & Development,Female,Manager,Married,16555,No,High,46-55,College,High,Very-High,Near,1-Star
547,42,No,Research & Development,Female,Research Scientist,Divorced,4556,No,High,35-46,College,High,High,Very-Far,1-Star
548,30,No,Research & Development,Female,Manufacturing Director,Single,6091,No,Low,26-35,Bachelor,Low,Very-High,Near,1-Star
549,60,No,Research & Development,Female,Manager,Married,19566,No,High,56?,Bachelor,High,Low,Near,Elders
550,46,No,Research & Development,Female,Manufacturing Director,Divorced,4810,No,High,46-55,Bachelor,High,High,Far,2-Star
551,42,No,Research & Development,Female,Healthcare Representative,Married,4523,No,High,35-46,Masters,Medium,Very-High,Very-Far,2-Star
554,24,Yes,Sales,Female,Sales Representative,Single,3202,Yes,High,18-25,Below College,High,Medium,Near,1-Star
555,34,Yes,Sales,Female,Sales Representative,Divorced,2351,No,High,26-35,College,Low,High,Near,Newbies
556,38,No,Research & Development,Male,Laboratory Technician,Married,1702,Yes,Low,35-46,College,High,Very-High,Near,Newbies
558,40,No,Sales,Female,Manager,Married,18041,No,High,35-46,Masters,High,High,Near,4-Star
560,26,No,Research & Development,Female,Research Scientist,Divorced,2886,No,Low,26-35,Bachelor,High,Very-High,Very-Far,1-Star
562,30,No,Research & Development,Male,Laboratory Technician,Married,2097,No,High,26-35,Bachelor,High,Very-High,Near,1-Star
564,29,No,Research & Development,Male,Research Director,Married,11935,No,High,26-35,Masters,Medium,High,Near,2-Star
565,29,Yes,Research & Development,Female,Research Scientist,Married,2546,No,High,26-35,Doctor,Medium,Medium,Very-Far,Newbies
566,19,Yes,Human Resources,Male,Human Resources,Single,2564,No,High,18-25,College,Medium,Very-High,Near,Newbies
567,30,No,Sales,Female,Sales Executive,Married,8412,No,High,26-35,Masters,High,Low,Very-Far,2-Star
568,57,No,Sales,Male,Manager,Divorced,14118,No,High,56?,Bachelor,Medium,Very-High,Very-Far,Newbies
569,50,No,Research & Development,Male,Manager,Married,17046,No,High,46-55,Masters,Medium,High,Very-Far,Elders
571,30,No,Research & Development,Female,Laboratory Technician,Single,2564,No,High,26-35,Bachelor,High,Very-High,Near,3-Star
573,60,No,Sales,Female,Sales Executive,Married,10266,No,High,56?,Bachelor,Medium,Low,Very-Far,4-Star
574,47,No,Research & Development,Female,Manufacturing Director,Divorced,5070,No,High,46-55,College,High,Very-High,Near,1-Star
575,46,No,Research & Development,Male,Research Director,Married,17861,No,High,46-55,Bachelor,High,High,Near,1-Star
577,35,No,Research & Development,Male,Laboratory Technician,Single,4230,No,High,26-35,Bachelor,Low,High,Very-Far,1-Star
578,54,No,Research & Development,Female,Laboratory Technician,Single,3780,No,High,46-55,Masters,High,High,Near,Newbies
579,34,No,Research & Development,Male,Research Scientist,Divorced,2768,No,High,26-35,Masters,Medium,High,Near,2-Star
580,46,No,Sales,Female,Sales Executive,Married,9071,Yes,High,46-55,Bachelor,Medium,Very-High,Near,1-Star
581,31,No,Research & Development,Male,Manufacturing Director,Divorced,10648,No,Low,26-35,Below College,High,Medium,Near,3-Star
582,33,Yes,Research & Development,Male,Manager,Married,13610,Yes,High,26-35,Below College,High,High,Far,2-Star
584,33,Yes,Research & Development,Male,Laboratory Technician,Divorced,3408,No,High,26-35,Below College,Low,Very-High,Near,1-Star
585,30,No,Sales,Male,Sales Representative,Single,2983,No,High,26-35,Below College,High,Medium,Near,1-Star
586,35,No,Research & Development,Male,Healthcare Representative,Married,7632,Yes,High,26-35,Bachelor,High,High,Far,2-Star
587,31,Yes,Research & Development,Male,Healthcare Representative,Married,9824,No,High,26-35,Bachelor,High,High,Far,Newbies
590,34,Yes,Human Resources,Female,Human Resources,Divorced,9950,Yes,High,26-35,Bachelor,High,Low,Very-Far,1-Star
591,42,No,Research & Development,Male,Laboratory Technician,Married,2093,No,High,35-46,College,High,High,Near,Newbies
592,36,No,Sales,Male,Sales Executive,Single,9980,No,High,35-46,Masters,High,Very-High,Near,2-Star
593,22,Yes,Research & Development,Male,Laboratory Technician,Single,3894,No,High,18-25,Below College,Medium,High,Near,Newbies
595,48,No,Sales,Female,Sales Executive,Married,4051,No,High,46-55,Doctor,High,Very-High,Near,2-Star
597,55,No,Sales,Female,Manager,Single,16835,No,Low,46-55,Doctor,High,Medium,Far,2-Star
599,41,No,Sales,Male,Sales Executive,Single,6230,No,High,35-46,College,High,Very-High,Near,3-Star
600,35,No,Sales,Male,Sales Executive,Married,4717,No,High,26-35,Bachelor,High,High,Near,3-Star
601,40,No,Research & Development,Female,Manufacturing Director,Single,13237,No,High,35-46,Bachelor,High,High,Near,4-Star
602,39,No,Research & Development,Female,Laboratory Technician,Married,3755,No,High,35-46,Below College,High,High,Near,2-Star
604,31,No,Sales,Male,Sales Executive,Single,6582,Yes,High,26-35,Below College,High,Very-High,Near,2-Star
605,42,No,Research & Development,Male,Manufacturing Director,Married,7406,Yes,Low,35-46,Bachelor,High,Low,Very-Far,2-Star
606,45,No,Sales,Male,Sales Executive,Married,4805,No,High,35-46,Bachelor,High,Medium,Near,2-Star
608,26,Yes,Human Resources,Female,Human Resources,Divorced,2741,Yes,High,26-35,Masters,High,High,Far,2-Star
611,29,No,Research & Development,Male,Manufacturing Director,Divorced,4262,No,High,26-35,Bachelor,High,Very-High,Far,1-Star
612,33,No,Research & Development,Female,Research Director,Divorced,16184,No,High,26-35,Doctor,Very-High,High,Near,2-Star
613,31,No,Sales,Male,Manager,Divorced,11557,No,Low,26-35,Bachelor,Medium,Very-High,Near,1-Star
614,18,Yes,Sales,Male,Sales Representative,Single,1878,Yes,High,18-25,Bachelor,High,Medium,Near,Newbies
615,40,No,Sales,Male,Sales Executive,Divorced,10932,No,High,35-46,Bachelor,Low,Low,Very-Far,Newbies
616,41,No,Research & Development,Female,Healthcare Representative,Single,6811,Yes,High,35-46,Masters,Medium,High,Near,2-Star
618,26,No,Sales,Male,Sales Executive,Divorced,4306,No,High,26-35,College,High,High,Very-Far,Newbies
620,35,No,Sales,Female,Sales Executive,Single,4859,No,High,26-35,Bachelor,High,High,Near,1-Star
621,34,No,Sales,Male,Sales Executive,Single,5337,No,High,26-35,Masters,Very-High,Very-High,Very-Far,2-Star
622,26,Yes,Research & Development,Male,Laboratory Technician,Single,2340,Yes,High,26-35,Bachelor,Low,Very-High,Very-Far,Newbies
623,37,No,Research & Development,Female,Manufacturing Director,Single,7491,No,High,35-46,Bachelor,High,Very-High,Near,2-Star
624,46,No,Research & Development,Female,Healthcare Representative,Married,10527,No,High,46-55,Below College,High,High,Far,Newbies
625,41,No,Sales,Female,Manager,Married,16595,No,High,35-46,Doctor,High,Low,Near,4-Star
626,37,No,Sales,Male,Sales Executive,Divorced,8834,No,High,35-46,Masters,High,Medium,Near,2-Star
630,52,No,Research & Development,Male,Research Scientist,Divorced,5577,Yes,High,46-55,College,High,Low,Near,2-Star
631,32,Yes,Sales,Male,Sales Executive,Married,4707,No,High,26-35,Masters,Very-High,High,Far,1-Star
632,24,No,Sales,Male,Sales Representative,Married,2400,No,High,18-25,Bachelor,High,Very-High,Very-Far,Newbies
634,38,No,Research & Development,Female,Healthcare Representative,Married,9824,No,High,35-46,Bachelor,High,High,Near,Newbies
635,37,No,Research & Development,Female,Manufacturing Director,Married,6447,No,High,35-46,Masters,High,Medium,Near,2-Star
638,49,No,Research & Development,Male,Research Director,Divorced,19502,Yes,High,46-55,Masters,Medium,High,Far,Elders
639,24,No,Research & Development,Male,Research Scientist,Married,2725,Yes,High,18-25,Bachelor,Very-High,Very-High,Very-Far,2-Star
641,26,No,Sales,Male,Sales Executive,Married,6272,No,Low,26-35,College,High,Medium,Very-Far,1-Star
643,24,No,Research & Development,Male,Laboratory Technician,Married,2127,No,Low,18-25,College,Medium,Medium,Far,Newbies
644,50,No,Human Resources,Male,Manager,Married,18200,No,High,46-55,Bachelor,High,Medium,Near,Elders
645,25,No,Sales,Male,Sales Representative,Married,2096,No,High,18-25,Below College,High,High,Far,2-Star
647,24,Yes,Research & Development,Female,Laboratory Technician,Married,2886,Yes,High,18-25,Bachelor,High,High,Near,2-Star
648,30,Yes,Sales,Male,Sales Representative,Married,2033,No,High,26-35,Masters,Medium,Low,Far,Newbies
649,34,No,Research & Development,Male,Research Scientist,Married,3622,Yes,High,26-35,College,Medium,Very-High,Near,2-Star
650,31,Yes,Sales,Male,Sales Executive,Divorced,4233,No,High,26-35,Masters,High,Low,Far,1-Star
652,35,No,Research & Development,Male,Laboratory Technician,Single,3681,No,High,26-35,College,Medium,Very-High,Very-Far,1-Star
653,31,No,Sales,Male,Sales Executive,Divorced,5460,No,Low,26-35,Masters,Very-High,Very-High,Near,2-Star
655,27,No,Research & Development,Female,Research Scientist,Divorced,2187,No,High,26-35,Masters,Medium,High,Near,1-Star
656,37,No,Sales,Male,Sales Executive,Married,9602,Yes,High,35-46,Bachelor,High,High,Near,1-Star
657,20,No,Research & Development,Female,Research Scientist,Single,2836,No,High,18-25,Bachelor,Medium,Medium,Near,Newbies
659,42,No,Research & Development,Female,Healthcare Representative,Married,4089,No,High,35-46,Masters,High,Very-High,Near,2-Star
